salary_id,employee_id,month,basic_salary,hra,special_allowance,overtime_pay,gross_salary,tax_deduction,pf_deduction,leave_deduction,total_deductions,net_salary
1,1001,2025-01,95000,19000.0,14250.0,2000,130250.0,19537.5,11400.0,4130.43,35067.93,95182.07
2,1001,2025-02,95000,19000.0,14250.0,0,128250.0,19237.5,11400.0,9500.0,40137.5,88112.5
3,1001,2025-03,95000,19000.0,14250.0,0,128250.0,19237.5,11400.0,0.0,30637.5,97612.5
4,1001,2025-04,95000,19000.0,14250.0,0,128250.0,19237.5,11400.0,0.0,30637.5,97612.5
5,1001,2025-05,95000,19000.0,14250.0,0,128250.0,19237.5,11400.0,0.0,30637.5,97612.5
6,1001,2025-06,95000,19000.0,14250.0,0,128250.0,19237.5,11400.0,0.0,30637.5,97612.5
7,1001,2025-07,95000,19000.0,14250.0,3500,131750.0,19762.5,11400.0,0.0,31162.5,100587.5
8,1001,2025-08,95000,19000.0,14250.0,0,128250.0,19237.5,11400.0,13571.43,44208.93,84041.07
9,1001,2025-09,95000,19000.0,14250.0,1000,129250.0,19387.5,11400.0,0.0,30787.5,98462.5
10,1001,2025-10,95000,19000.0,14250.0,1000,129250.0,19387.5,11400.0,8260.87,39048.37,90201.63
11,1001,2025-11,95000,19000.0,14250.0,2500,130750.0,19612.5,11400.0,0.0,31012.5,99737.5
12,1001,2025-12,95000,19000.0,14250.0,0,128250.0,19237.5,11400.0,4130.43,34767.93,93482.07
13,1002,2025-01,50000,10000.0,7500.0,0,67500.0,6750.0,6000.0,2173.91,14923.91,52576.09
14,1002,2025-02,50000,10000.0,7500.0,0,67500.0,6750.0,6000.0,0.0,12750.0,54750.0
15,1002,2025-03,50000,10000.0,7500.0,0,67500.0,6750.0,6000.0,0.0,12750.0,54750.0
16,1002,2025-04,50000,10000.0,7500.0,0,67500.0,6750.0,6000.0,2272.73,15022.73,52477.27
17,1002,2025-05,50000,10000.0,7500.0,0,67500.0,6750.0,6000.0,0.0,12750.0,54750.0
18,1002,2025-06,50000,10000.0,7500.0,0,67500.0,6750.0,6000.0,2380.95,15130.95,52369.05
19,1002,2025-07,50000,10000.0,7500.0,0,67500.0,6750.0,6000.0,2173.91,14923.91,52576.09
20,1002,2025-08,50000,10000.0,7500.0,0,67500.0,6750.0,6000.0,2380.95,15130.95,52369.05
21,1002,2025-09,50000,10000.0,7500.0,1000,68500.0,6850.0,6000.0,0.0,12850.0,55650.0
22,1002,2025-10,50000,10000.0,7500.0,1000,68500.0,6850.0,6000.0,4347.83,17197.83,51302.17
23,1002,2025-11,50000,10000.0,7500.0,0,67500.0,6750.0,6000.0,0.0,12750.0,54750.0
24,1002,2025-12,50000,10000.0,7500.0,0,67500.0,6750.0,6000.0,0.0,12750.0,54750.0
25,1003,2025-01,70000,14000.0,10500.0,0,94500.0,9450.0,8400.0,6086.96,23936.96,70563.04
26,1003,2025-02,70000,14000.0,10500.0,0,94500.0,9450.0,8400.0,0.0,17850.0,76650.0
27,1003,2025-03,70000,14000.0,10500.0,3500,98000.0,9800.0,8400.0,0.0,18200.0,79800.0
28,1003,2025-04,70000,14000.0,10500.0,0,94500.0,9450.0,8400.0,3181.82,21031.82,73468.18
29,1003,2025-05,70000,14000.0,10500.0,0,94500.0,9450.0,8400.0,6363.64,24213.64,70286.36
30,1003,2025-06,70000,14000.0,10500.0,0,94500.0,9450.0,8400.0,3333.33,21183.33,73316.67
31,1003,2025-07,70000,14000.0,10500.0,2000,96500.0,9650.0,8400.0,0.0,18050.0,78450.0
32,1003,2025-08,70000,14000.0,10500.0,0,94500.0,9450.0,8400.0,3333.33,21183.33,73316.67
33,1003,2025-09,70000,14000.0,10500.0,0,94500.0,9450.0,8400.0,0.0,17850.0,76650.0
34,1003,2025-10,70000,14000.0,10500.0,2000,96500.0,9650.0,8400.0,0.0,18050.0,78450.0
35,1003,2025-11,70000,14000.0,10500.0,2000,96500.0,9650.0,8400.0,0.0,18050.0,78450.0
36,1003,2025-12,70000,14000.0,10500.0,4000,98500.0,9850.0,8400.0,0.0,18250.0,80250.0
37,1004,2025-01,50000,10000.0,7500.0,0,67500.0,6750.0,6000.0,2173.91,14923.91,52576.09
38,1004,2025-02,50000,10000.0,7500.0,0,67500.0,6750.0,6000.0,0.0,12750.0,54750.0
39,1004,2025-03,50000,10000.0,7500.0,2000,69500.0,6950.0,6000.0,7142.86,20092.86,49407.14
40,1004,2025-04,50000,10000.0,7500.0,0,67500.0,6750.0,6000.0,2272.73,15022.73,52477.27
41,1004,2025-05,50000,10000.0,7500.0,0,67500.0,6750.0,6000.0,0.0,12750.0,54750.0
42,1004,2025-06,50000,10000.0,7500.0,0,67500.0,6750.0,6000.0,0.0,12750.0,54750.0
43,1004,2025-07,50000,10000.0,7500.0,1000,68500.0,6850.0,6000.0,0.0,12850.0,55650.0
44,1004,2025-08,50000,10000.0,7500.0,0,67500.0,6750.0,6000.0,0.0,12750.0,54750.0
45,1004,2025-09,50000,10000.0,7500.0,0,67500.0,6750.0,6000.0,0.0,12750.0,54750.0
46,1004,2025-10,50000,10000.0,7500.0,0,67500.0,6750.0,6000.0,2173.91,14923.91,52576.09
47,1004,2025-11,50000,10000.0,7500.0,5500,73000.0,7300.0,6000.0,0.0,13300.0,59700.0
48,1004,2025-12,50000,10000.0,7500.0,4500,72000.0,7200.0,6000.0,2173.91,15373.91,56626.09
49,1005,2025-01,70000,14000.0,10500.0,1000,95500.0,9550.0,8400.0,0.0,17950.0,77550.0
50,1005,2025-02,70000,14000.0,10500.0,0,94500.0,9450.0,8400.0,0.0,17850.0,76650.0
51,1005,2025-03,70000,14000.0,10500.0,0,94500.0,9450.0,8400.0,3333.33,21183.33,73316.67
52,1005,2025-04,70000,14000.0,10500.0,0,94500.0,9450.0,8400.0,9545.45,27395.45,67104.55
53,1005,2025-05,70000,14000.0,10500.0,0,94500.0,9450.0,8400.0,12727.27,30577.27,63922.73
54,1005,2025-06,70000,14000.0,10500.0,0,94500.0,9450.0,8400.0,6666.67,24516.67,69983.33
55,1005,2025-07,70000,14000.0,10500.0,0,94500.0,9450.0,8400.0,6086.96,23936.96,70563.04
56,1005,2025-08,70000,14000.0,10500.0,4500,99000.0,9900.0,8400.0,3333.33,21633.33,77366.67
57,1005,2025-09,70000,14000.0,10500.0,0,94500.0,9450.0,8400.0,0.0,17850.0,76650.0
58,1005,2025-10,70000,14000.0,10500.0,0,94500.0,9450.0,8400.0,0.0,17850.0,76650.0
59,1005,2025-11,70000,14000.0,10500.0,1500,96000.0,9600.0,8400.0,0.0,18000.0,78000.0
60,1005,2025-12,70000,14000.0,10500.0,0,94500.0,9450.0,8400.0,0.0,17850.0,76650.0
61,1006,2025-01,50000,10000.0,7500.0,1000,68500.0,6850.0,6000.0,0.0,12850.0,55650.0
62,1006,2025-02,50000,10000.0,7500.0,0,67500.0,6750.0,6000.0,0.0,12750.0,54750.0
63,1006,2025-03,50000,10000.0,7500.0,500,68000.0,6800.0,6000.0,0.0,12800.0,55200.0
64,1006,2025-04,50000,10000.0,7500.0,0,67500.0,6750.0,6000.0,0.0,12750.0,54750.0
65,1006,2025-05,50000,10000.0,7500.0,0,67500.0,6750.0,6000.0,0.0,12750.0,54750.0
66,1006,2025-06,50000,10000.0,7500.0,0,67500.0,6750.0,6000.0,2380.95,15130.95,52369.05
67,1006,2025-07,50000,10000.0,7500.0,0,67500.0,6750.0,6000.0,2173.91,14923.91,52576.09
68,1006,2025-08,50000,10000.0,7500.0,0,67500.0,6750.0,6000.0,0.0,12750.0,54750.0
69,1006,2025-09,50000,10000.0,7500.0,0,67500.0,6750.0,6000.0,6818.18,19568.18,47931.82
70,1006,2025-10,50000,10000.0,7500.0,0,67500.0,6750.0,6000.0,0.0,12750.0,54750.0
71,1006,2025-11,50000,10000.0,7500.0,1000,68500.0,6850.0,6000.0,2500.0,15350.0,53150.0
72,1006,2025-12,50000,10000.0,7500.0,500,68000.0,6800.0,6000.0,0.0,12800.0,55200.0
73,1007,2025-01,70000,14000.0,10500.0,2000,96500.0,9650.0,8400.0,6086.96,24136.96,72363.04
74,1007,2025-02,70000,14000.0,10500.0,0,94500.0,9450.0,8400.0,3500.0,21350.0,73150.0
75,1007,2025-03,70000,14000.0,10500.0,0,94500.0,9450.0,8400.0,0.0,17850.0,76650.0
76,1007,2025-04,70000,14000.0,10500.0,3000,97500.0,9750.0,8400.0,3181.82,21331.82,76168.18
77,1007,2025-05,70000,14000.0,10500.0,0,94500.0,9450.0,8400.0,3181.82,21031.82,73468.18
78,1007,2025-06,70000,14000.0,10500.0,0,94500.0,9450.0,8400.0,0.0,17850.0,76650.0
79,1007,2025-07,70000,14000.0,10500.0,0,94500.0,9450.0,8400.0,3043.48,20893.48,73606.52
80,1007,2025-08,70000,14000.0,10500.0,500,95000.0,9500.0,8400.0,3333.33,21233.33,73766.67
81,1007,2025-09,70000,14000.0,10500.0,0,94500.0,9450.0,8400.0,0.0,17850.0,76650.0
82,1007,2025-10,70000,14000.0,10500.0,4000,98500.0,9850.0,8400.0,0.0,18250.0,80250.0
83,1007,2025-11,70000,14000.0,10500.0,0,94500.0,9450.0,8400.0,0.0,17850.0,76650.0
84,1007,2025-12,70000,14000.0,10500.0,0,94500.0,9450.0,8400.0,3043.48,20893.48,73606.52
85,1008,2025-01,150000,30000.0,22500.0,500,203000.0,30450.0,18000.0,0.0,48450.0,154550.0
86,1008,2025-02,150000,30000.0,22500.0,0,202500.0,30375.0,18000.0,15000.0,63375.0,139125.0
87,1008,2025-03,150000,30000.0,22500.0,0,202500.0,30375.0,18000.0,7142.86,55517.86,146982.14
88,1008,2025-04,150000,30000.0,22500.0,0,202500.0,30375.0,18000.0,0.0,48375.0,154125.0
89,1008,2025-05,150000,30000.0,22500.0,3500,206000.0,30900.0,18000.0,0.0,48900.0,157100.0
90,1008,2025-06,150000,30000.0,22500.0,0,202500.0,30375.0,18000.0,0.0,48375.0,154125.0
91,1008,2025-07,150000,30000.0,22500.0,500,203000.0,30450.0,18000.0,0.0,48450.0,154550.0
92,1008,2025-08,150000,30000.0,22500.0,0,202500.0,30375.0,18000.0,0.0,48375.0,154125.0
93,1008,2025-09,150000,30000.0,22500.0,0,202500.0,30375.0,18000.0,6818.18,55193.18,147306.82
94,1008,2025-10,150000,30000.0,22500.0,0,202500.0,30375.0,18000.0,6521.74,54896.74,147603.26
95,1008,2025-11,150000,30000.0,22500.0,0,202500.0,30375.0,18000.0,0.0,48375.0,154125.0
96,1008,2025-12,150000,30000.0,22500.0,2000,204500.0,30675.0,18000.0,0.0,48675.0,155825.0
97,1009,2025-01,50000,10000.0,7500.0,0,67500.0,6750.0,6000.0,2173.91,14923.91,52576.09
98,1009,2025-02,50000,10000.0,7500.0,0,67500.0,6750.0,6000.0,0.0,12750.0,54750.0
99,1009,2025-03,50000,10000.0,7500.0,2000,69500.0,6950.0,6000.0,0.0,12950.0,56550.0
100,1009,2025-04,50000,10000.0,7500.0,0,67500.0,6750.0,6000.0,0.0,12750.0,54750.0
101,1009,2025-05,50000,10000.0,7500.0,0,67500.0,6750.0,6000.0,0.0,12750.0,54750.0
102,1009,2025-06,50000,10000.0,7500.0,0,67500.0,6750.0,6000.0,0.0,12750.0,54750.0
103,1009,2025-07,50000,10000.0,7500.0,0,67500.0,6750.0,6000.0,2173.91,14923.91,52576.09
104,1009,2025-08,50000,10000.0,7500.0,2000,69500.0,6950.0,6000.0,0.0,12950.0,56550.0
105,1009,2025-09,50000,10000.0,7500.0,2500,70000.0,7000.0,6000.0,0.0,13000.0,57000.0
106,1009,2025-10,50000,10000.0,7500.0,0,67500.0,6750.0,6000.0,4347.83,17097.83,50402.17
107,1009,2025-11,50000,10000.0,7500.0,0,67500.0,6750.0,6000.0,2500.0,15250.0,52250.0
